iter; numVertices; distance; numEdges; edgeProbability; TS_D_ok; TS_D_time; BF_D_ok; BF_D_time; TS_R_ok; TS_R_time; BF_R_ok; BF_R_time; 
0; 17; 150; 136; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 18; 30; 37; 24; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 18; 40; 62; 41; 1; 110; 0; 0; 1; 3; 0; 0; 
0; 18; 50; 77; 50; 1; 6; 0; 0; 1; 2; 1; 273; 
0; 18; 60; 127; 83; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 18; 70; 114; 75; 1; 1; 1; 1; 1; 0; 1; 1; 
0; 18; 80; 144; 94; 1; 0; 1; 2; 1; 0; 1; 250; 
0; 18; 90; 152; 99; 1; 0; 1; 1; 1; 1; 1; 0; 
0; 18; 100; 149; 97; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 18; 110; 153; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 18; 120; 152; 99; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 18; 130; 153; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 18; 140; 153; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 18; 150; 153; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 19; 30; 44; 26; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 19; 40; 66; 39; 0; 0; 0; 0; 1; 14; 0; 0; 
0; 19; 50; 65; 38; 0; 0; 1; 1; 1; 24; 0; 0; 
0; 19; 60; 110; 64; 1; 1; 0; 0; 1; 0; 1; 2; 
0; 19; 70; 113; 66; 1; 0; 0; 0; 1; 0; 1; 11; 
0; 19; 80; 143; 84; 1; 1; 1; 0; 1; 1; 1; 15; 
0; 19; 90; 161; 94; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 19; 100; 171; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 19; 110; 169; 99; 1; 0; 1; 1; 1; 0; 1; 2; 
0; 19; 120; 171; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 19; 130; 171; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 19; 140; 171; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 19; 150; 171; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 20; 30; 58; 31; 0; 0; 0; 0; 1; 223; 0; 0; 
0; 20; 40; 84; 44; 0; 0; 0; 0; 1; 6; 0; 0; 
0; 20; 50; 101; 53; 1; 9; 1; 20; 1; 5; 0; 0; 
0; 20; 60; 144; 76; 1; 1; 1; 0; 1; 0; 1; 1; 
0; 20; 70; 117; 62; 1; 0; 1; 13; 1; 0; 1; 2; 
0; 20; 80; 156; 82; 1; 1; 1; 0; 1; 1; 1; 0; 
0; 20; 90; 171; 90; 1; 0; 1; 1; 1; 1; 1; 1; 
0; 20; 100; 185; 97; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 20; 110; 190; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 20; 120; 189; 99; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 20; 130; 190; 100; 1; 0; 1; 2; 1; 0; 1; 1; 
0; 20; 140; 190; 100; 1; 0; 1; 1; 1; 0; 1; 2; 
0; 20; 150; 190; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 21; 30; 40; 19; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 21; 40; 69; 33; 0; 0; 0; 0; 1; 2; 0; 0; 
0; 21; 50; 85; 40; 1; 12; 0; 0; 1; 18; 0; 0; 
0; 21; 60; 95; 45; 1; 1; 0; 0; 1; 1; 1; 1; 
0; 21; 70; 183; 87; 1; 1; 1; 1; 1; 0; 1; 2; 
0; 21; 80; 191; 91; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 21; 90; 198; 94; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 21; 100; 208; 99; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 21; 110; 209; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
0; 21; 120; 210; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 21; 130; 210; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 21; 140; 210; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 21; 150; 210; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 22; 30; 43; 19; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 22; 40; 92; 40; 1; 158; 0; 0; 1; 23; 1; 338; 
0; 22; 50; 135; 58; 1; 1; 1; 643; 1; 0; 1; 0; 
0; 22; 60; 139; 60; 1; 24; 0; 0; 1; 1; 1; 26; 
0; 22; 70; 166; 72; 1; 2; 1; 2; 1; 1; 1; 430; 
0; 22; 80; 224; 97; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 22; 90; 208; 90; 1; 0; 1; 1; 1; 0; 1; 428; 
0; 22; 100; 220; 95; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 22; 110; 229; 99; 1; 0; 1; 0; 1; 1; 1; 0; 
0; 22; 120; 231; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 22; 130; 231; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 22; 140; 231; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 22; 150; 231; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 23; 30; 62; 25; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 23; 40; 88; 35; 0; 0; 0; 0; 1; 10; 0; 0; 
0; 23; 50; 155; 61; 1; 2; 1; 1; 1; 1; 1; 1; 
0; 23; 60; 135; 53; 1; 0; 1; 561; 1; 1; 1; 2; 
0; 23; 70; 206; 81; 1; 1; 1; 1; 1; 0; 1; 504; 
0; 23; 80; 217; 86; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 23; 90; 234; 92; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 23; 100; 246; 97; 1; 1; 1; 1; 1; 0; 1; 2; 
0; 23; 110; 250; 99; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 23; 120; 253; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 23; 130; 253; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 23; 140; 253; 100; 1; 0; 1; 1; 1; 0; 1; 2; 
0; 23; 150; 253; 100; 1; 0; 1; 0; 1; 0; 1; 2; 
0; 24; 30; 48; 17; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 24; 40; 105; 38; 1; 717; 0; 0; 1; 2; 0; 0; 
0; 24; 50; 122; 44; 1; 195; 0; 0; 1; 11; 0; 0; 
0; 24; 60; 169; 61; 1; 4; 0; 0; 1; 1; 0; 0; 
0; 24; 70; 222; 80; 1; 1; 1; 0; 1; 1; 1; 563; 
0; 24; 80; 239; 87; 1; 0; 1; 1; 1; 0; 1; 2; 
0; 24; 90; 247; 89; 1; 0; 1; 1; 1; 1; 1; 1; 
0; 24; 100; 253; 92; 1; 0; 1; 2; 1; 0; 1; 2; 
0; 24; 110; 276; 100; 1; 0; 1; 1; 1; 1; 1; 1; 
0; 24; 120; 276; 100; 1; 0; 1; 1; 1; 0; 1; 2; 
0; 24; 130; 276; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 24; 140; 276; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 24; 150; 276; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 25; 30; 53; 18; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 25; 40; 95; 32; 0; 0; 0; 0; 1; 14; 0; 0; 
0; 25; 50; 160; 53; 1; 79; 1; 979; 1; 1; 0; 0; 
0; 25; 60; 225; 75; 1; 1; 1; 1; 1; 0; 0; 0; 
0; 25; 70; 236; 79; 1; 1; 1; 1; 1; 0; 1; 1; 
0; 25; 80; 233; 78; 1; 0; 1; 1; 1; 0; 1; 2; 
0; 25; 90; 281; 94; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 25; 100; 297; 99; 1; 0; 1; 1; 1; 0; 1; 2; 
0; 25; 110; 298; 99; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 25; 120; 300; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 25; 130; 300; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 25; 140; 300; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 25; 150; 300; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
1; 5; 30; 2; 20; 0; 0; 0; 0; 0; 0; 0; 0; 
1; 5; 40; 4; 40; 0; 0; 0; 0; 0; 0; 0; 0; 
1; 5; 50; 5; 50; 1; 0; 1; 1; 0; 0; 0; 0; 
1; 5; 60; 8; 80; 1; 0; 1; 0; 1; 1; 1; 2; 
1; 5; 70; 9; 90; 1; 0; 1; 1; 1; 0; 1; 0; 
1; 5; 80; 5; 50; 1; 2; 1; 0; 0; 0; 0; 0; 
1; 5; 90; 9; 90; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 5; 100; 10; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 5; 110; 10; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 5; 120; 10; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
1; 5; 130; 10; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
1; 5; 140; 10; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
1; 5; 150; 10; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
1; 6; 30; 5; 33; 0; 0; 0; 0; 0; 0; 0; 0; 
1; 6; 40; 7; 47; 0; 0; 0; 0; 0; 0; 0; 0; 
1; 6; 50; 11; 73; 1; 0; 1; 0; 1; 0; 1; 1; 
1; 6; 60; 10; 67; 1; 0; 1; 7; 1; 20; 1; 17; 
1; 6; 70; 13; 87; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 6; 80; 12; 80; 1; 0; 1; 0; 1; 0; 1; 1; 
1; 6; 90; 14; 93; 1; 0; 1; 0; 1; 0; 1; 3; 
1; 6; 100; 14; 93; 1; 0; 1; 0; 1; 1; 1; 0; 
1; 6; 110; 15; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 6; 120; 15; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 6; 130; 15; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 6; 140; 15; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 6; 150; 15; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 7; 30; 4; 19; 0; 0; 0; 0; 0; 0; 0; 0; 
1; 7; 40; 10; 48; 1; 0; 1; 23; 1; 1; 1; 30; 
1; 7; 50; 11; 52; 0; 0; 0; 0; 0; 0; 0; 0; 
1; 7; 60; 14; 67; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 7; 70; 17; 81; 1; 0; 1; 0; 1; 0; 1; 2; 
1; 7; 80; 17; 81; 1; 0; 1; 0; 1; 1; 1; 2; 
1; 7; 90; 20; 95; 1; 0; 1; 1; 1; 0; 1; 0; 
1; 7; 100; 21; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 7; 110; 21; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 7; 120; 21; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 7; 130; 21; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 7; 140; 21; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
1; 7; 150; 21; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
1; 8; 30; 8; 29; 0; 0; 0; 0; 0; 0; 0; 0; 
1; 8; 40; 9; 32; 0; 0; 0; 0; 0; 0; 0; 0; 
1; 8; 50; 11; 39; 0; 0; 0; 0; 1; 0; 1; 0; 
1; 8; 60; 20; 71; 1; 0; 1; 1; 1; 0; 1; 0; 
1; 8; 70; 17; 61; 1; 4; 0; 0; 1; 0; 0; 0; 
1; 8; 80; 23; 82; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 8; 90; 25; 89; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 8; 100; 28; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 8; 110; 27; 96; 1; 0; 1; 1; 1; 0; 1; 0; 
1; 8; 120; 28; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 8; 130; 28; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 8; 140; 28; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
1; 8; 150; 28; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
1; 9; 30; 15; 42; 0; 0; 0; 0; 0; 0; 0; 0; 
1; 9; 40; 10; 28; 0; 0; 0; 0; 1; 3; 0; 0; 
1; 9; 50; 16; 44; 0; 0; 0; 0; 1; 0; 1; 0; 
1; 9; 60; 23; 64; 1; 0; 1; 0; 1; 0; 1; 1; 
1; 9; 70; 18; 50; 0; 0; 1; 0; 1; 1; 1; 555; 
1; 9; 80; 33; 92; 1; 0; 1; 0; 1; 0; 1; 1; 
1; 9; 90; 31; 86; 1; 0; 1; 0; 1; 0; 1; 1; 
